movie,genre,title
Cabin_by_the_Lake,Horror_film,Cabin by the Lake
Cabocla,Telenovela,Cabocla
Cadena_braga,Telenovela,Cadena braga
Cadet_Kelly,Romance_film,Cadet Kelly
Cadet_Kelly,Comedy_film,Cadet Kelly
Cadet_Kelly,Teen_film,Cadet Kelly
Cage_Without_a_Key,Drama_(film_and_television),Cage Without a Key
Caleta_del_sol,Romance_film,Caleta del sol
Caleta_del_sol,Drama,Caleta del sol
Call_Me_Claus,Comedy_film,Call Me Claus
Calvento_Files,Documentary_film,Calvento Files
Calvento_Files,Drama,Calvento Files
Camp_Wilder,Sitcom,Camp Wilder
Campus_(TV_series),Sitcom,Campus (TV series)
Canadian_Made,Documentary,Canadian Made
Cancer_(film),Documentary_film,Cancer (film)
Capitol_(TV_series),Soap_opera,Capitol (TV series)
Captain_America_(1979_film),Superhero_film,Captain America (1979 film)
Captain_America_II:_Death_Too_Soon,Action_film,Captain America II: Death Too Soon
Captain_America_II:_Death_Too_Soon,Science_fiction,Captain America II: Death Too Soon
Captain_America_II:_Death_Too_Soon,Superhero_film,Captain America II: Death Too Soon
Captain_Barbell_(2011_TV_series),Drama_(film_and_television),Captain Barbell (2011 TV series)
Captain_Barbell_(2011_TV_series),Action_genre,Captain Barbell (2011 TV series)
Captain_Barbell_(2011_TV_series),Fantasy,Captain Barbell (2011 TV series)
Captain_of_Destiny,Adventure_fiction,Captain of Destiny
Capturing_Mary,Drama,Capturing Mary
Caras_&_Bocas,Telenovela,Caras & Bocas
Caravan_of_Courage:_An_Ewok_Adventure,Fantasy_film,Caravan of Courage: An Ewok Adventure
Caribbean_Cops,Documentary_film,Caribbean Cops
Carmen:_A_Hip_Hopera,Romance_film,Carmen: A Hip Hopera
Carmen:_A_Hip_Hopera,Musical_film,Carmen: A Hip Hopera
CarniK_Con,Comedy,CarniK Con
Carny_(2009_film),Horror_film,Carny (2009 film)
Carolina_Moon_(2007_film),Thriller_(genre),Carolina Moon (2007 film)
Carolina_Moon_(2007_film),Drama_film,Carolina Moon (2007 film)
Caroline_in_the_City,Sitcom,Caroline in the City
Carrie_(2002_film),Horror_film,Carrie (2002 film)
Cars_Toons,Comedy,Cars Toons
