movie_genre,artist,album_name,track_name
comedy,Jon Lajoie,You Want Some of This?,Everyday Normal Guy 2
comedy,Lil Dicky;Chris Brown,Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown)
comedy,Lil Dicky,Earth,Earth
comedy,Afroman,The Good Times,Because I Got High
comedy,The Lonely Island;Akon,Turtleneck & Chain (Explicit Version),I Just Had Sex
comedy,Lil Dicky;Brendon Urie,Professional Rapper,Molly (feat. Brendon Urie of Panic at the Disco)
comedy,Lil Dicky;Fetty Wap;Rich Homie Quan,Professional Rapper,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)
comedy,Jon Lajoie,You Want Some of This?,Everyday Normal Guy
comedy,The Lonely Island;Justin Timberlake,Turtleneck & Chain (Explicit Version),Motherlover
comedy,Lil Dicky;Snoop Dogg,Professional Rapper,Professional Rapper (feat. Snoop Dogg)
comedy,Pink Guy,Pink Season,セックス大好き
comedy,Lil Dicky,Professional Rapper,Lemme Freak
comedy,Pink Guy,Pink Season,Stfu
comedy,Pink Guy,Pink Season,Fried Noodles
comedy,Pink Guy,Pink Season,Help
comedy,Afroman,The Good Times,Crazy Rap (Colt 45 & 2 Zig Zags)
comedy,The Lonely Island;T-Pain,Incredibad,I'm On A Boat
comedy,Pink Guy,Pink Season,She's So Nice
comedy,Muck Sticky,Dang!,I.H.T.B.T.O.T.T.Y.I.D.F.Y.M.
comedy,Mitch Fatel,Miniskirts and Muffins - EP,Sloppy Drunk
comedy,Katt Williams,Pimp Chronicles Pt.1,Stop Trippin
comedy,Jim Norton,Despicable - EP,What Sex Is That Thing?
comedy,Stephen Lynch,3 Balloons,3 Balloons
comedy,Jim Norton,Despicable - EP,"The Bridge, Lol"
comedy,Jeff Foxworthy,We've Been Thinking,Facts of Life
comedy,Kyle Kinane,Loose in Chicago,Water
comedy,Kyle Kinane,Loose in Chicago,Beef
comedy,Jeff Foxworthy,We've Been Thinking,The Only Prostate
comedy,Kyle Kinane,Loose in Chicago,Salt
comedy,Kyle Kinane,Whiskey Icarus,Sweet Pain
comedy,Hype Duo,Yeah the Boys,Yeah the Boys
comedy,Hype Duo,I'm Australian Man,I'm Australian Man
comedy,Jim Norton,Despicable,Fuck Florida
comedy,Stephen Lynch,The Craig Machine,Halloween
comedy,Kyle Kinane,Loose in Chicago,Corn Syrup
comedy,Ron White,A Little Unprofessional,Love
comedy,Larry The Cable Guy,We've Been Thinking,Git R Done
comedy,Katt Williams,Pimp Chronicles Pt.1,Government Is Pimps
comedy,Hype Duo,Went to a Pub in Australia,Went to a Pub in Australia
comedy,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called 8 Ball
comedy,Kyle Kinane,Loose in Chicago,Mustard
comedy,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called Parental Discretion Iz Advised
comedy,Kevin Bloody Wilson,My Australian Roots,The Builder
comedy,Russell Peters,Russell Peters Hosts: Comics Without Borders,Porno Chicks
comedy,Linda P,Just Divorced,Du' Fan'me Pæn Du Er
comedy,Jim Norton,Despicable,An Importanta Relationship Lesson
comedy,Kathleen Madigan,Madigan Again,Post Office
comedy,Ron White,A Little Unprofessional,Roller Coaster/Ok to Be Gay/Pornucopia/Gay Exec
comedy,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called Something 2 Dance 2
comedy,Kevin Bloody Wilson,Klassic Kev,Nigel Fuckin' Legend
comedy,The Lonely Island,Incredibad,Jizz In My Pants
comedy,Jon Lajoie,You Want Some of This?,Show Me Your Genitals
comedy,Lil Dicky;Jace,Professional Rapper,Oh Well (feat. Jace of Two-9)
comedy,Lil Dicky;Brain,Professional Rapper,Pillow Talking (feat. Brain)
comedy,Pink Guy,Pink Season,We Fall Again
comedy,The Lonely Island;Michael Bolton,Turtleneck & Chain (Explicit Version),Jack Sparrow
comedy,Pink Guy,Pink Season,Dumplings
comedy,Pink Guy,Pink Season,Nickelodeon Girls
comedy,Jeff Foxworthy,Sold Out,Stuffed Animal Wallhangings
comedy,Iliza Shlesinger,War Paint,Witching Hour of Drinking
comedy,Tom Papa,Freaked Out,9 Years No Sleep
comedy,Tommy Ryman,Having the Time of My Life,The Cable Fell out of the Sky
comedy,Greg Warren,Running Out of Time,Contractors
comedy,Monty Python,Monty Python Sings,Always Look On The Bright Side Of Life
comedy,Craig Ferguson,I'm Here to Help,Great Asses Cause Trouble
comedy,Josh Sneed,Unacceptable,Life on the Road
comedy,Al Madrigal,Why is the Rabbit Crying?,Are You Lonely?
comedy,Robert Schimmel,Life Since Then,Non Hogkins Lymphoma
comedy,Matt Braunger,Big Dumb Animal,Wildcattin'
comedy,Stephen Lynch,3 Balloons,Fishin' Hole
comedy,Jeff Foxworthy,We've Been Thinking,Kidney Stones
comedy,Josh Sneed,Unacceptable,Getting Older vs Growing Up
comedy,Brian Regan,Standing Up,Flying
comedy,Jim Norton,Despicable - EP,One Scary Ass F*****g Black Guy
comedy,Larry The Cable Guy,We've Been Thinking,Family Outings
comedy,Big Jay Oakerson,The Crowd Work Sessions: What's Your F@!?#ng Deal?!,Bring Your Black Friend Night
comedy,Christian Finnegan,Two for Flinching,Office People (And a Perfectly Good Font Joke)
comedy,Kyle Kinane,Whiskey Icarus,Beth
comedy,Chad Daniels,Busy Being Awesome,We Got Icees!
comedy,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called I Ain't Tha 1
comedy,Brian Regan,Standing Up,Driving
comedy,Katt Williams,Pimp Chronicles Pt.1,Get Some White Friends
comedy,Bert Kreischer,Bert Bert Bert,Asians in an Airport
comedy,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called Fuck Tha Police
comedy,Brian Regan,Standing Up,Kids
comedy,Bert Kreischer,Bert Bert Bert,Intro
comedy,Dan Cummins,Get Outta Here; Devil!,Weirdest Spanking
comedy,Russell Peters,Russell Peters Hosts: Comics Without Borders,Italian Guys
comedy,Erikka Innes,Sex With Nerds,Superman and Passive Aggressive Man
comedy,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called Something Like That
comedy,Kevin Bloody Wilson,Wrong! Wrong! Wrong!,Dicken's Cider
comedy,Kevin Bloody Wilson,Klassic Kev,Stack the Fridge
comedy,Kevin Bloody Wilson,Kev's Back (The Return of the Yobbo),Kev's Courtin' Song
comedy,Larry The Cable Guy,We've Been Thinking,"Skeeters, Spiders and Lookalikes"
comedy,Kathleen Madigan,Madigan Again,Obama
comedy,Ron White,A Little Unprofessional,L.A. Beautiful/You're Beautiful/The Yellow Blur
comedy,Ron White,A Little Unprofessional,Tater Tot/Peed in My Face/Busted with Porn/Sex Talk
comedy,Kevin Bloody Wilson,Kev's Back (The Return of the Yobbo),Dick'taphone
comedy,Stephen Lynch;Laura Benanti;The Wedding Singer Ensemble,The Wedding Singer (Original Broadway Cast Recording),Not That Kind of Thing
comedy,"""Weird Al"" Yankovic",Running With Scissors,"Grapefruit Diet (Parody of ""Zoot Suit Riot"" by Cherry Poppin' Daddies)"
comedy,Pink Guy;Getter,Pink Season: The Prophecy,Fried Noodles (Getter Remix)
comedy,Lil Dicky;GaTa,"We Good (From The TV Show ""DAVE"")","We Good (From The TV Show ""DAVE"")"
comedy,Lil Dicky,Professional Rapper,Bruh...
comedy,Tommy Ryman,Bath Time with Tommy Ryman,Deep Fried Goodness
comedy,Wyatt Cenac,Furry Dumb Fighter,Facial Profiling
comedy,Jeff Allen,Three Word Vocabulary,My America
comedy,Brian Posehn,Fart and Wiener Jokes,Metal Fans
comedy,Big Jay Oakerson,An American Storyteller,Mother Knows Best
comedy,FASCINATING AIDA,Silver Jubilee,Dogging
comedy,Adam Ferrara,Funny as Hell,In the Name of God
comedy,Caroline Rhea,What Is It You Can't Face?,Bless Your Heart
comedy,Christopher Titus,Angry Pursuit of Happiness,Brick O Dildos
comedy,Jeff Foxworthy,The Redneck Test,You Might Be a Redneck
comedy,Tommy Ryman,Having the Time of My Life,"Dogs, Dogs and More Dogs"
comedy,Matt Braunger,Shovel Fighter,The Sound
comedy,The Adventures of Duane & Brando,LP of Devastation (Remastered),Megaman 2
comedy,Ralphie May,Just Correct,Introduction
comedy,Rachel Feinstein,Only Whores Wear Purple,Facebook and Judging People
comedy,Ralphie May,Just Correct,I Want the Rainbow Back
comedy,Katt Williams,Pimp Chronicles Pt.1,Hollywood
comedy,Katt Williams,Pimp Chronicles Pt.1,You Need Weed
comedy,Kyle Kinane,Loose in Chicago,Sodium Nitrite
comedy,Kyle Kinane,Whiskey Icarus,Shout It out Loud
comedy,Linda P,Romancevisen,Romancevisen
comedy,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called Express Yourself
comedy,Kyle Kinane,Death of the Party,Way of the World
comedy,Brian Regan,Epitome of Hyperbole,Reading
comedy,Kathleen Madigan,Madigan Again,Facebook / Twitter
comedy,Dan Cummins,Get Outta Here; Devil!,"Are My ""R's"" Clear Now?"
comedy,Ron White,A Little Unprofessional,Dr. Phil Story
comedy,Ron White,A Little Unprofessional,Library/Steal Music
comedy,Brian Regan,Epitome of Hyperbole,Tv
comedy,Kyle Kinane,Loose in Chicago,Garlic Juice
comedy,Sebastian Maniscalco,Sebastian LIVE,Showering Is An Event
comedy,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called Dopeman
comedy,Kyle Kinane,Loose in Chicago,Sodium Erythortbate
comedy,Mike Birbiglia,Sleepwalk with Me - Live,Wedding Story
comedy,Dan Cummins,Get Outta Here; Devil!,Get Rid of That Joke!
comedy,Chad Daniels,Busy Being Awesome,Tall Canadian Lady
